Location
"1(1,A1)"
"2(1,B1)"
"3(1,C1)"
"4(1,D1)"
"5(1,E1)"
"6(1,F1)"
"7(1,G1)"
"8(1,H1)"
"9(1,A2)"
"10(1,B2)"
"11(1,C2)"
"12(1,D2)"
"13(1,E2)"
"14(1,F2)"
"15(1,G2)"
"16(1,H2)"
"17(1,A3)"
"18(1,B3)"
"19(1,C3)"
"20(1,D3)"
"21(1,E3)"
"22(1,F3)"
"23(1,G3)"
"24(1,H3)"
"25(1,A4)"
"26(1,B4)"
"27(1,C4)"
"28(1,D4)"
"29(1,E4)"
"30(1,F4)"
"31(1,G4)"
"32(1,H4)"
"33(1,A5)"
"34(1,B5)"
"35(1,C5)"
"36(1,D5)"
"37(1,E5)"
"38(1,F5)"
"39(1,G5)"
"40(1,H5)"
"41(1,A6)"
"42(1,B6)"
"43(1,C6)"
"44(1,D6)"
"45(1,E6)"
"46(1,F6)"
"47(1,G6)"
"48(1,H6)"
"49(1,A7)"
"50(1,B7)"
"51(1,C7)"
"52(1,D7)"
"53(1,E7)"
"54(1,F7)"
"55(1,G7)"
"56(1,H7)"
"57(1,A8)"
"58(1,B8)"
"59(1,C8)"
"60(1,D8)"
"61(1,E8)"
"62(1,F8)"
"63(1,G8)"
"64(1,H8)"
"65(1,A9)"
"66(1,B9)"
"67(1,C9)"
"68(1,D9)"
"69(1,E9)"
"70(1,F9)"
"71(1,G9)"
"72(1,H9)"
"73(1,A10)"
"74(1,B10)"
"75(1,C10)"
"76(1,D10)"
"77(1,E10)"
"78(1,F10)"
"79(1,G10)"
"80(1,H10)"
"81(1,A11)"
"82(1,B11)"
"83(1,C11)"
"84(1,D11)"
"85(1,E11)"
"86(1,F11)"
"87(1,G11)"
"88(1,H11)"
"89(1,A12)"
"90(1,B12)"
"91(1,C12)"
"92(1,D12)"
"93(1,E12)"
"94(1,F12)"
"95(1,G12)"
"96(1,H12)"
